RecordID,SerialID,LocalTime,latitude,longitude,Fix_Status,DOP,Speed_kmh,Limit_kmh
31850,26,9/13/2009 8:41,43.339197,-79.787687,2D Fix,1.2,29.6,50
31851,26,9/13/2009 8:41,43.339243,-79.787645,2D Fix,1.2,24.4,50
31852,26,9/13/2009 8:41,43.33928,-79.787615,2D Fix,1.2,17.8,50
31853,26,9/13/2009 8:42,43.339308,-79.787595,2D Fix,1.2,14.1,50
31854,26,9/13/2009 8:42,43.33934,-79.787592,2D Fix,1.2,13.3,50
31855,26,9/13/2009 8:42,43.33937,-79.787608,2D Fix,1.2,13.3,50
31856,26,9/13/2009 8:42,43.339393,-79.787638,2D Fix,1.2,13.3,50
31857,26,9/13/2009 8:42,43.339415,-79.787677,2D Fix,1.2,14.1,50
31858,26,9/13/2009 8:42,43.339432,-79.787718,2D Fix,1.2,14.1,50
31859,26,9/13/2009 8:42,43.339398,-79.787413,2D Fix,1.2,14.8,50
31860,26,9/13/2009 8:42,43.339412,-79.7874,2D Fix,1.2,14.8,50
31861,26,9/13/2009 8:42,43.339472,-79.787653,2D Fix,1.2,14.1,50
31862,26,9/13/2009 8:42,43.339513,-79.787718,2D Fix,1.2,14.1,50
31863,26,9/13/2009 8:42,43.33953,-79.787737,2D Fix,1.2,9.6,50
31886,26,9/13/2009 8:44,43.339123,-79.788725,3D Fix,1.1,0,50
31887,26,9/13/2009 8:44,43.339262,-79.78851,3D Fix,1.1,0.7,50
31888,26,9/13/2009 8:44,43.33923,-79.788595,3D Fix,1.1,0,50
31889,26,9/13/2009 8:44,43.339217,-79.788632,3D Fix,1.1,0.7,50
31890,26,9/13/2009 8:44,43.339217,-79.788632,3D Fix,1.1,1.5,50
31891,26,9/13/2009 8:44,43.33922,-79.788627,3D Fix,1.4,2.2,50
31892,26,9/13/2009 8:44,43.339218,-79.788633,3D Fix,1.4,3,50
31893,26,9/13/2009 8:44,43.339213,-79.788643,3D Fix,1.4,4.4,50
31894,26,9/13/2009 8:44,43.339212,-79.788645,3D Fix,1.4,3,50
31895,26,9/13/2009 8:44,43.339215,-79.788637,3D Fix,1.4,0.7,50
31896,26,9/13/2009 8:44,43.33921,-79.788647,3D Fix,1.4,2.2,50
31897,26,9/13/2009 8:44,43.339212,-79.78864,3D Fix,1.4,3,50
31898,26,9/13/2009 8:44,43.339213,-79.78863,3D Fix,1.4,3,50
31899,26,9/13/2009 8:44,43.339212,-79.78863,2D Fix,10.7,3.7,50
31900,26,9/13/2009 8:44,43.339208,-79.788633,3D Fix,1.4,4.4,50
31901,26,9/13/2009 8:44,43.339202,-79.788633,3D Fix,1.1,4.4,50
31902,26,9/13/2009 8:44,43.339262,-79.788483,3D Fix,1.1,4.4,50
31903,26,9/13/2009 8:44,43.339293,-79.788392,3D Fix,1.1,3,50
31904,26,9/13/2009 8:44,43.339313,-79.788325,3D Fix,1.1,3.7,50
31905,26,9/13/2009 8:44,43.339328,-79.788273,3D Fix,1.1,1.5,50
31906,26,9/13/2009 8:44,43.339347,-79.78823,3D Fix,1.1,1.5,50
31907,26,9/13/2009 8:44,43.339365,-79.788202,3D Fix,1.1,3.7,50
31908,26,9/13/2009 8:44,43.339387,-79.78819,3D Fix,1.1,7.4,50
31909,26,9/13/2009 8:44,43.339413,-79.788193,3D Fix,1.1,11.9,50
31910,26,9/13/2009 8:44,43.33944,-79.788217,3D Fix,1.6,13.3,50
31911,26,9/13/2009 8:44,43.339465,-79.788242,3D Fix,1.1,11.9,50
31912,26,9/13/2009 8:44,43.339492,-79.788247,3D Fix,1.1,8.9,50
31913,26,9/13/2009 8:44,43.339513,-79.78824,3D Fix,1.1,6.7,50
31914,26,9/13/2009 8:44,43.339538,-79.788232,3D Fix,1.1,8.1,50
31915,26,9/13/2009 8:44,43.339563,-79.78822,3D Fix,1.1,8.9,50
31916,26,9/13/2009 8:44,43.339587,-79.788202,3D Fix,1.1,8.9,50
31917,26,9/13/2009 8:44,43.339618,-79.78816,3D Fix,1.1,13.3,50
31918,26,9/13/2009 8:44,43.339652,-79.788082,3D Fix,1.1,16.3,50
31919,26,9/13/2009 8:44,43.339677,-79.788017,3D Fix,1.1,13.3,50
31920,26,9/13/2009 8:44,43.339708,-79.787932,3D Fix,1.1,13.3,50
31921,26,9/13/2009 8:44,43.339742,-79.787867,3D Fix,1.1,14.8,50
31922,26,9/13/2009 8:44,43.339772,-79.787818,3D Fix,1.1,14.1,50
31923,26,9/13/2009 8:44,43.339797,-79.787785,3D Fix,1.1,11.9,50
31924,26,9/13/2009 8:44,43.339838,-79.787723,3D Fix,1.1,15.6,50
31925,26,9/13/2009 8:44,43.339863,-79.78768,3D Fix,1.1,13.3,50
31926,26,9/13/2009 8:44,43.339888,-79.787658,3D Fix,1.1,10.4,50
31927,26,9/13/2009 8:44,43.339925,-79.787635,3D Fix,1.1,15.6,50
31928,26,9/13/2009 8:44,43.339972,-79.787633,3D Fix,1.1,18.5,50
31929,26,9/13/2009 8:44,43.340025,-79.787658,3D Fix,1.1,23,50
